user_slug,username,school
sauravkr485,sauravkr485,
xhcqup,,
sun-man-man,,
x8wCavN8Fg,x8wCavN8Fg,
oquQdf9ZYT,oquQdf9ZYT,Heritage Institute of Technology
accordance,accordance,
fucking_coder,fucking_coder,
dshivank630,dshivank630,
ManasDixitzz,ManasDixitzz,
jaygoti2006,jaygoti2006,
Pirate_king_Luffy,Pirate_king_Luffy,
saiteja1329,saiteja1329,
Aaquib_16,Aaquib_16,"IIEST, Shibpur"
aLazyCoder,aLazyCoder,
yethiraj,yethiraj,Indian Institute of Technology
Aman_Pandey_The_Great,Aman_Pandey_The_Great,
RustyRiddler,RustyRiddler,
Spandey_1844,Spandey_1844,
saloniv375,saloniv375,
izakikoiyama,izakikoiyama,Graphic Era deemed to be University
ayushpandey1302,ayushpandey1302,Narula Institute of Technology
ikarisoi,ikarisoi,"Graphic Era University,dehradun"
Debraj_01,Debraj_01,
create-heart,,
V_K_Reddy,V_K_Reddy,
hu-die-de-xiao-a-fei-o,,
onlyblues,,
blackpanther__7,blackpanther__7,
chuan_swt,,
Naman_Bagoria,Naman_Bagoria,NIT Jalandhar
shriganesh2019,shriganesh2019,
soham_c04,soham_c04,IIT Bhubaneswar
Prabhdeep-24,Prabhdeep-24,
helltractor,,
kartiktomar,kartiktomar,
itsabhishek9534,itsabhishek9534,
Gokul1230,Gokul1230,
weii2000,weii2000,
jolly-dewdney8py,,
TqdR8bNaxD,TqdR8bNaxD,
rautela_aditya,rautela_aditya,
subhu1704,subhu1704,
maskboy,maskboy,
chy87999,chy87999,
vishal_s_12,vishal_s_12,
stephen-sun-a,,
gallant-heyrovskykzp,,
quachdung2502,quachdung2502,
rishikush31,rishikush31,
afzalkhanofficial,afzalkhanofficial,
shivansh_coding,shivansh_coding,Delhi Technological University
rineeth_d,rineeth_d,
mistluo,mistluo,
JanhviShxrma,JanhviShxrma,
UneGrosseBite,UneGrosseBite,
Sandeep_karne,Sandeep_karne,"SDMCET,dharwad"
YashM2111,YashM2111,
Hemasri_823,Hemasri_823,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,ONGOLE"
Vraj_Dobariya_59,Vraj_Dobariya_59,
Mahrouqi,Mahrouqi,"Faculty of Electronic Engineering, Menoufia University"
patilaniruddha,patilaniruddha,
zhouzl,,
braindroid,braindroid,
user3705TD,user3705TD,
guptashubh6386,guptashubh6386,
PhoenixDD,PhoenixDD,
elainafan,,
Andimeo,Andimeo,
andreimurica,andreimurica,
Cricrazy,Cricrazy,
woruteyqi,woruteyqi,
whr-n,,
adityaprasaddash,adityaprasaddash,
happy_rawat,happy_rawat,
taiin,Taiin,
saijayavinoth,saijayavinoth,"CEG, Chennai"
K_Raze,K_Raze,
satyambansal183,satyambansal183,
mbeceanu,mbeceanu,
hasib_17,hasib_17,PSTU
dontcallmepandey,dontcallmepandey,Graphic Era University
zen-murdockc7v,,
zhenliang153,zhenliang153,
mudit_2904,mudit_2904,"Institute of Engineering and Management, Kolkata"
mondalalokeveer2001,mondalalokeveer2001,IIT Guwahati
AJ148,AJ148,
sweet-haibteqa,,
aditya_s45,aditya_s45,
krsumitsingh2004,krsumitsingh2004,
btrxCsOq7a,btrxCsOq7a,Sachdeva Public School
yu46656,yu46656,
cbyr,cbyr,
Nilogrib,Nilogrib,
Parthbhalodiya,Parthbhalodiya,
Lakshya_gupta_05,Lakshya_gupta_05,
F007NewFlat,F007NewFlat,
KOUSHIK-BISWAS,KOUSHIK-BISWAS,Siliguri Institute Of Tchnology
aadijain558,aadijain558,
Aez,Aez,
Om_Ashish_Soni,Om_Ashish_Soni,"Dharmsinh Desai University, Nadiad"
youcando,youcando,
YokiDokiTT,YokiDokiTT,
YouYue123,YouYue123,NTU
Kanna123,Kanna123,IIT Kharagpur
jenil0108,jenil0108,
jushuai_lfx,jushuai_lfx,
Cos27,Cos27,
Aneekroy,Aneekroy,
pramitkchandra10,pramitkchandra10,
khalil192,khalil192,BML MUNJAL UNIVERSITY
sanjana_4406,sanjana_4406,
K8WeAhY9A9,K8WeAhY9A9,
Vengeance_23,Vengeance_23,
ririshab,ririshab,
abhijit25mishra,abhijit25mishra,
srijan-agrawal-_-1,srijan-agrawal-_-1,NIT Raipur
Dridhnishchayi,Dridhnishchayi,
shubham_developer02,shubham_developer02,Indian Institute of Technology (ISM) Dhanbad
oAZntgdtU5,oAZntgdtU5,
umigen,,
ANUJN_007,ANUJN_007,
whitemagic7456,whitemagic7456,
c0wthecow,c0wthecow,
Divyanshu52Singhal,Divyanshu52Singhal,
SayChak,SayChak,
OneMoreAC,OneMoreAC,
bikathon,bikathon,
ArchanDadhania,ArchanDadhania,
TheRZ123,TheRZ123,
neelabhra04,neelabhra04,
rohinth076,rohinth076,Karpagam College of Engineering
pratikmk264,pratikmk264,
Krishna2011,Krishna2011,Pranveer Singh Institute Of Technology 
priyam_saha17,priyam_saha17,
derkach,derkach,
aadi_ranjan,aadi_ranjan,
Priyanka_Roy05,Priyanka_Roy05,
8KBzlt9qMJ,8KBzlt9qMJ,
vashistha001,vashistha001,
flyinglemonjx,flyinglemonjx,
user8373VE,user8373VE,
ryuzen,ryuzen,
naharkalita,naharkalita,
theweird-kid,theweird-kid,"National Institute of Technology, Jalandhar"
Neha_Shah041106,Neha_Shah041106,
cwabhi,cwabhi,
Jgx9PTuFan,,
8symbols,8symbols,
drizzleL,drizzleL,
Namor18,Namor18,
hhby,,
siddhesh_7905,siddhesh_7905,VJTI
bob_12345,deleted_user,
Citypop,Citypop,
zsq007,zsq007,
ygor_ribeiro7,ygor_ribeiro7,
Raman_Ahalawat,Raman_Ahalawat,
techleadx,techleadx,European University
paullam,paullam,
NotDot,NotDot,
Radhamita_Debnath,Radhamita_Debnath,
mu-feng-n2,,
SohamDutta2002,SohamDutta2002,
BitWizz,BitWizz,
aman_2005,aman_2005,NIT Jalandhar
nitesh0017,nitesh0017,MNNIT ALLAHABAD
axin-vt,,
pandafinix,pandafinix,IIT(ISM) DHANBAD
samay90,samay90,Indian Institute of Technology GOA
AnreevBathari,AnreevBathari,
v27j1104,v27j1104,
arnavkj11,arnavkj11,
AlokPrajapat386,AlokPrajapat386,
mr6915tri8513,mr6915tri8513,
chun-ri-ye-qiong-c,,
Perurisrivedha,Perurisrivedha,
Utkarsh-Verma,Utkarsh-Verma,IIT Bhubaneswar
riteshkumarsahu2002,riteshkumarsahu2002,
user3593Z,user3593Z,
tmimotw,tmimotw,
takaou_gw,,
bitagi,bitagi,
SungJinWoo_op,SungJinWoo_op,
Ayush-Rawat,Ayush-Rawat,
infloop_2003,infloop_2003,
thomanani,thomanani,
velour_replica,velour_replica,
sharishmadhavanhm,sharishmadhavanhm,
abhishek_nub,abhishek_nub,
AdityaLuthra,AdityaLuthra,
ironman263,ironman263,
libkonstantin,libkonstantin,
distracted-mcleanfpv,,
Keshav_Mishra01,Keshav_Mishra01,
Raj_Tiwari,Raj_Tiwari,NIT Agartala
LaliteshKannuri,LaliteshKannuri,
cassowary1,cassowary1,
adityakr_007,adityakr_007,
sreehithsanam,sreehithsanam,Indian Institute of Technology Hyderabad
U34Wm66nZV,U34Wm66nZV,
SivaKrishna96,SivaKrishna96,
agakishy,agakishy,
ken08875,ken08875,
satyamkumar1345,satyamkumar1345,
rainadixit11048,rainadixit11048,
brook_b_nigatu,brook_b_nigatu,
Dracaarys,Dracaarys,
Mrityunjay_Kumar_Jha123,Mrityunjay_Kumar_Jha123,NIT Kurukshetra
vikas_jha_19,vikas_jha_19,"Graphic Era Hill University,Bhimtal Campus"
andreybakalin97,andreybakalin97,
AijoKaren,AijoKaren,
Archishman_Naskar,Archishman_Naskar,
pannupatil14,pannupatil14,BMS College of Engineering
cPUQOFTMqy,cPUQOFTMqy,
Rajguru1829-,Rajguru1829-,
